specimen_id,catalog_number,kb_taxon_id,kb_scientific_name,dataset_genus,dataset_species,source_split,dorsal_image_path,dorsal_exists,dorsal_width,dorsal_height,head_image_path,head_exists,head_width,head_height,profile_image_path,profile_exists,profile_width,profile_height,all_views_present,all_view_files_exist,duplicate_view_counts,readiness_status,notes
casent0158880,casent0158880,strumigenys,Strumigenys,Strumigenys,rogeri,test,data/raw/images/strumigenys_rogeri/casent0158880_d.jpg,true,233,143,data/raw/images/strumigenys_rogeri/casent0158880_h.jpg,true,233,222,data/raw/images/strumigenys_rogeri/casent0158880_p.jpg,true,233,138,true,true,"dorsal:1,head:1,profile:1",ready,
focol2164,focol2164,strumigenys,Strumigenys,Strumigenys,louisianae,test,data/raw/images/strumigenys_louisianae/focol2164_d.jpg,true,233,221,data/raw/images/strumigenys_louisianae/focol2164_h.jpg,true,233,247,data/raw/images/strumigenys_louisianae/focol2164_p.jpg,true,233,210,true,true,"dorsal:1,head:1,profile:1",ready,
anic32-002156,anic32-002156,strumigenys,Strumigenys,Strumigenys,emmae,test,data/raw/images/strumigenys_emmae/anic32-002156_d.jpg,true,233,167,data/raw/images/strumigenys_emmae/anic32-002156_h.jpg,true,233,324,data/raw/images/strumigenys_emmae/anic32-002156_p.jpg,true,233,150,true,true,"dorsal:1,head:1,profile:1",ready,
casent0909342,casent0909342,strumigenys,Strumigenys,Strumigenys,emmae,test,data/raw/images/strumigenys_emmae/casent0909342_d.jpg,true,233,173,data/raw/images/strumigenys_emmae/casent0909342_h.jpg,true,233,167,data/raw/images/strumigenys_emmae/casent0909342_p.jpg,true,233,143,true,true,"dorsal:1,head:1,profile:1",ready,
focol2163,focol2163,strumigenys,Strumigenys,Strumigenys,louisianae,test,data/raw/images/strumigenys_louisianae/focol2163_d.jpg,true,233,103,data/raw/images/strumigenys_louisianae/focol2163_h.jpg,true,233,338,data/raw/images/strumigenys_louisianae/focol2163_p.jpg,true,233,113,true,true,"dorsal:1,head:1,profile:1",ready,
casent0005665,casent0005665,wasmannia_auropunctata,Wasmannia auropunctata,Wasmannia,auropunctata,test,data/raw/images/wasmannia_auropunctata/casent0005665_d.jpg,true,233,147,data/raw/images/wasmannia_auropunctata/casent0005665_h.jpg,true,233,222,data/raw/images/wasmannia_auropunctata/casent0005665_p.jpg,true,233,140,true,true,"dorsal:1,head:1,profile:1",ready,
casent0909213,casent0909213,wasmannia_auropunctata,Wasmannia auropunctata,Wasmannia,auropunctata,test,data/raw/images/wasmannia_auropunctata/casent0909213_d.jpg,true,233,180,data/raw/images/wasmannia_auropunctata/casent0909213_h.jpg,true,233,184,data/raw/images/wasmannia_auropunctata/casent0909213_p.jpg,true,233,160,true,true,"dorsal:1,head:1,profile:1",ready,
focol0065-2,focol0065-2,wasmannia_auropunctata,Wasmannia auropunctata,Wasmannia,auropunctata,test,data/raw/images/wasmannia_auropunctata/focol0065-2_d.jpg,true,233,138,data/raw/images/wasmannia_auropunctata/focol0065-2_h.jpg,true,233,247,data/raw/images/wasmannia_auropunctata/focol0065-2_p.jpg,true,233,173,true,true,"dorsal:1,head:1,profile:1",ready,
casent0246164,casent0246164,wasmannia_auropunctata,Wasmannia auropunctata,Wasmannia,auropunctata,test,data/raw/images/wasmannia_auropunctata/casent0246164_d.jpg,true,233,142,data/raw/images/wasmannia_auropunctata/casent0246164_h.jpg,true,233,159,data/raw/images/wasmannia_auropunctata/casent0246164_p.jpg,true,233,177,true,true,"dorsal:1,head:1,profile:1",ready,
casent0904873,casent0904873,wasmannia_auropunctata,Wasmannia auropunctata,Wasmannia,auropunctata,val,data/raw/images/wasmannia_auropunctata/casent0904873_d.jpg,true,233,147,data/raw/images/wasmannia_auropunctata/casent0904873_h.jpg,true,233,225,data/raw/images/wasmannia_auropunctata/casent0904873_p.jpg,true,233,169,true,true,"dorsal:1,head:1,profile:1",ready,
